track_id,name,artist,album,duration_ms,popularity,release_date,playlist_id,playlist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4iV5W9uYEdYUVa79Axb7Rh,Watermelon Sugar,Harry Styles,Fine Line,174000,84,2019-12-13,playlist_001,Ontario Hits 2020,0.548,0.816,7,-4.209,1,0.0465,0.122,0.000001,0.092,0.557,95.39
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,รท (Deluxe),233713,87,2017-01-06,playlist_001,Ontario Hits 2020,0.825,0.652,1,-3.183,0,0.0802,0.581,0.000000,0.093,0.931,95.977
4uLU6hMCjMI75M1A2tKUQC,Blinding Lights,The Weeknd,After Hours,200040,88,2019-11-29,playlist_002,Toronto Electronic,0.514,0.730,1,-5.934,1,0.0598,0.001,0.000009,0.090,0.334,171.008
0VjIjW4GlULA6QyOTnzPTc,Anti-Hero,Taylor Swift,Midnights,200690,91,2022-10-21,playlist_002,Toronto Electronic,0.513,0.658,7,-6.776,1,0.0794,0.000356,0.000000,0.116,0.434,96.495
5Z01UMMf7V1o0MzF86s6WJ,As It Was,Harry Styles,Harry's House,167303,90,2022-04-01,playlist_003,Canadian Indie Rock,0.513,0.537,7,-5.297,1,0.0361,0.183,0.000000,0.123,0.582,173.93
0WtM2NBVQNRvf4e95fNTfW,Somebody That I Used to Know,Gotye,Making Mirrors,244240,85,2011-07-05,playlist_003,Canadian Indie Rock,0.494,0.369,5,-7.552,0,0.0333,0.452,0.000005,0.113,0.208,120.044
3ee8Jmje8o58CHK66QrVC2,Peaches,Justin Bieber,Justice,198040,83,2021-03-19,playlist_004,Ontario Pop Stars,0.677,0.696,6,-6.181,0,0.117,0.132,0.000000,0.127,0.464,90.030
6WrI0LAC5M1Rw2MnX2ZvEg,Sorry,Justin Bieber,Purpose (Deluxe),200560,81,2015-10-23,playlist_004,Ontario Pop Stars,0.739,0.651,9,-5.491,0,0.0562,0.269,0.000000,0.111,0.438,100.077
11dFghVXANMlKmJXsNCbNl,One More Time,Daft Punk,Discovery,320357,79,2001-03-07,playlist_005,Electronic Classics,0.609,0.679,6,-8.252,1,0.0468,0.012,0.000735,0.334,0.837,122.75
5ChkMS8OtdzJeqyybCc9R5,Crazy,Gnarls Barkley,St. Elsewhere,182960,78,2006-04-24,playlist_005,Electronic Classics,0.576,0.835,7,-3.799,0,0.0663,0.233,0.000000,0.123,0.710,112.499
4VqPOruhp5EdPBeR92t6lQ,Uptown Funk,Mark Ronson,Uptown Special,269000,85,2014-11-10,playlist_006,Funk & Soul Ontario,0.896,0.669,7,-4.632,0,0.0321,0.00187,0.000018,0.165,0.823,114.984
3WMj8moIAXJhHsyLaqIIHI,24K Magic,Bruno Mars,24K Magic,226733,80,2016-10-07,playlist_006,Funk & Soul Ontario,0.818,0.803,7,-4.282,1,0.0797,0.012,0.000446,0.137,0.639,106.969
7ouMYWpwJ422jRcDASZB7P,Knights of Cydonia,Muse,Black Holes and Revelations,366213,76,2006-07-03,playlist_007,Progressive Rock Toronto,0.389,0.986,3,-4.856,1,0.0443,0.000348,0.135,0.164,0.473,138.158
2takcwOaAZWiXQijPHIx7B,Time,Pink Floyd,The Dark Side of the Moon,413947,75,1973-03-01,playlist_007,Progressive Rock Toronto,0.265,0.239,7,-20.484,1,0.0404,0.708,0.859,0.247,0.175,65.138
1Je1IMUlBXcx1Fz0WE7oPT,Bohemian Rhapsody,Queen,A Night at the Opera,354320,87,1975-10-31,playlist_008,Classic Rock Ontario,0.054,0.596,10,-14.426,0,0.0579,0.0232,0.000009,0.158,0.279,72.038
4R2kfaDFhslZEMSK1SuOE4,Don't Stop Me Now,Queen,Jazz,208893,83,1978-11-10,playlist_008,Classic Rock Ontario,0.593,0.910,7,-4.547,1,0.0555,0.267,0.000035,0.681,0.944,155.916
0u2P5u6lvoDfwTYjAADbn4,Someone Like You,Adele,21,284027,81,2011-01-24,playlist_009,Emotional Ballads,0.499,0.394,1,-8.058,1,0.0319,0.162,0.000000,0.137,0.234,67.249
7ne4VBA60CxGM75vw0EYad,Hello,Adele,25,295493,85,2015-10-23,playlist_009,Emotional Ballads,0.234,0.428,6,-9.435,0,0.0348,0.579,0.000000,0.111,0.187,79.295
6habFhsOp2NvshLv26DqMb,Sweet Child O' Mine,Guns N' Roses,Appetite for Destruction,356027,86,1987-07-21,playlist_010,Guitar Heroes,0.495,0.721,7,-5.958,1,0.0424,0.00339,0.004,0.341,0.614,125.071
4VrWlk8IQxevMvERoX08iC,November Rain,Guns N' Roses,Use Your Illusion I,537590,82,1991-09-17,playlist_010,Guitar Heroes,0.239,0.431,3,-11.225,0,0.0362,0.0556,0.0513,0.111,0.208,82.939